"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 07 17:08:32 IST 2020","Thu May 07 17:08:32 IST 2020","150","","Login Page Features","","Login Page Features","Verify SignUp Link","Verify SignUp Link",""
"passed","Mon May 11 16:02:12 IST 2020","Mon May 11 16:02:12 IST 2020","174","","Test","","Test","Testing","Testing",""
"passed","Thu May 07 17:08:32 IST 2020","Thu May 07 17:08:34 IST 2020","1280","","Login Page Features","","Login Page Features","Login To Application","Login To Application",""
"passed","Tue May 12 10:56:35 IST 2020","Tue May 12 10:56:37 IST 2020","2461","","Login Page Feature Test","","Login Page Feature Test","Verify SignUp Link","Verify SignUp Link",""
"broken","Mon May 11 16:02:22 IST 2020","Mon May 11 16:02:23 IST 2020","1163","","Login Page Feature Test","","Login Page Feature Test","Verify SignUp Link","Verify SignUp Link",""
"passed","Mon May 11 16:02:23 IST 2020","Mon May 11 16:02:26 IST 2020","3084","","Login Page Feature Test","","Login Page Feature Test","Login To Application","Login To Application",""
"passed","Tue May 12 10:56:11 IST 2020","Tue May 12 10:56:14 IST 2020","2412","","Login Page Feature Test","","Login Page Feature Test","Login To Application","Login To Application",""
"passed","Mon May 11 16:02:12 IST 2020","Mon May 11 16:02:22 IST 2020","10388","","Login Page Feature Test","","Login Page Feature Test","Verify login Page title","Verify login Page title",""
"passed","Tue May 12 10:55:58 IST 2020","Tue May 12 10:55:58 IST 2020","176","","Test","","Test","Testing","Testing",""
"passed","Tue May 12 10:56:37 IST 2020","Tue May 12 10:56:39 IST 2020","2024","","Login Page Feature Test","","Login Page Feature Test","Login To Application","Login To Application",""
"passed","Tue May 12 10:55:58 IST 2020","Tue May 12 10:56:08 IST 2020","9508","","Login Page Feature Test","","Login Page Feature Test","Verify login Page title","Verify login Page title",""
"passed","Thu May 07 17:08:23 IST 2020","Thu May 07 17:08:32 IST 2020","9007","","Login Page Features","","Login Page Features","Verify login Page title","Verify login Page title",""
"passed","Mon May 11 14:36:19 IST 2020","Mon May 11 14:36:21 IST 2020","1696","","Login Page Feature Test","","Login Page Feature Test","Login To Application","Login To Application",""
"passed","Mon May 11 14:36:02 IST 2020","Mon May 11 14:36:02 IST 2020","140","","Test","","Test","Testing","Testing",""
"passed","Tue May 12 10:56:08 IST 2020","Tue May 12 10:56:11 IST 2020","3520","","Login Page Feature Test","","Login Page Feature Test","Verify SignUp Link","Verify SignUp Link",""
"passed","Tue May 12 10:56:16 IST 2020","Tue May 12 10:56:16 IST 2020","144","","Test","","Test","Testing","Testing",""
"passed","Mon May 11 14:36:16 IST 2020","Mon May 11 14:36:19 IST 2020","2609","","Login Page Feature Test","","Login Page Feature Test","Verify SignUp Link","Verify SignUp Link",""
"passed","Mon May 11 14:36:08 IST 2020","Mon May 11 14:36:16 IST 2020","8295","","Login Page Feature Test","","Login Page Feature Test","Verify login Page title","Verify login Page title",""
"passed","Tue May 12 10:56:27 IST 2020","Tue May 12 10:56:35 IST 2020","7243","","Login Page Feature Test","","Login Page Feature Test","Verify login Page title","Verify login Page title",""
